ID,total_length,mass,grav_time,distance,shuttles,Tpref,Tavoid_lower,Tavoid_upper,pref_range,time_near_max,time_near_min,time_near_limits,study_ID
62,23.5,189,4.8325,23746.92602,127.1703019,17.19073641,11.78465127,19.14724927,7.362598005,0,0,0,Fish_62_20_3_rev_B
63,17.5,71,4.927777778,11275.84329,26.45142408,20.26118587,9.47529715,24.86509754,15.38980039,38.49720421,0,38.49720421,Fish_63_20_2_rev_S
64,22.5,166,4.198611111,16905.60715,131.7602828,17.80570623,16.00416318,19.0363401,3.032176916,0,0,0,Fish_64_13_3_rev_B_long
65,21.2,128,3.940833333,11943.76316,34.98363944,18.0193047,15.89615554,21.2270137,5.330858159,0,0,0,Fish_65_13_2_B
66,23.1,201,2.853055556,19714.44611,44.58480401,14.0635603,7.231742075,19.12941411,11.89767203,0,1.866988668,1.866988668,Fish_66_20_3_B
67,26.5,310,3.552222222,15766.18142,61.12813236,18.11878113,15.05181223,20.41140383,5.359591594,0,0,0,Fish_67_13_3_B
68,19.8,104,2.325555556,22203.84281,55.79762333,16.14045882,9.944044664,21.07770499,11.13366033,0,0,0,Fish_68_20_3_B
69,26.1,251,6.508333333,12706.94136,37.00824133,17.90319082,16.08930378,19.6340392,3.544735423,0,0,0,Fish_69_13_3_B_long
70,22.8,167,6.388888889,18379.67478,37.72482549,16.75819402,14.61259625,19.26739857,4.654802323,0,0,0,Fish_70_13_2_rev_B
71,22.9,235,4.933333333,15044.31892,41.61458867,22.63374526,19.62373406,24.4344695,4.810735446,11.52887341,0,11.52887341,Fish_71_20_3_rev_B
72,24.9,201,3.368611111,20899.83607,80.74632791,18.35208375,14.5840362,20.84032514,6.256288943,0,0,0,Fish_72_13_3_rev_B
73,23,142,3.915277778,18074.16587,44.30121795,17.30215848,13.61626422,20.93845971,7.322195487,0,0,0,Fish_73_13_2_rev_B
74,26,274,3.891666667,19687.57516,51.22560966,18.67003043,16.60790044,20.08524765,3.477347215,0,0,0,Fish_74_20_3_rev_B
75,24.5,200,3.232777778,17950.81629,42.04630099,18.55736563,14.47845627,19.67503425,5.196577982,0,0,0,Fish_75_13_3_B
76,21,124,8.998611111,13436.33795,48.59640027,18.65369153,9.46557124,21.20570894,11.7401377,0,0,0,Fish_76_20_2_B_long
77,21.1,147,3.525,18861.90638,65.60806314,21.15215194,19.09243014,23.26746724,4.175037101,1.942886121,0,1.942886121,Fish_77_20_2_B
78,24.2,176,3.816944444,26235.09235,123.8184371,17.69137083,15.15716153,20.12435984,4.967198314,0,0,0,Fish_78_13_2_B
79,28.8,336,3.757222222,14704.57341,67.87699148,16.8162588,14.51373462,18.31508981,3.801355191,0,0,0,Fish_79_13_2_B_long
80,24.2,240,3.821666667,17808.18055,49.73830676,17.64754535,14.82660673,19.68620561,4.859598881,0,0,0,Fish_80_13_2_rev_B
81,22.8,158,3.958888889,8214.456357,19.3504517,13.46839184,7.32791177,21.84846254,14.52055077,0.022666192,2.713466956,2.736133148,Fish_81_20_2_rev_B
82,24.1,178,3.852222222,15217.3542,39.9056955,17.80930773,12.55480822,21.22123152,8.666423297,0,0,0,Fish_82_13_2_rev_B
83,26.6,290,2.438611111,14224.08839,54.7217426,15.94370277,13.16378407,17.97050649,4.806722421,0,0,0,Fish_83_13_2_rev_B
84,24.2,218,5.030277778,18840.07886,45.7669009,16.06550551,14.97587053,18.99981618,4.023945651,0,0,0,Fish_84_20_2_B
85,23.3,172,3.896944444,24335.88196,163.3556749,19.1673866,18.46829932,20.0662577,1.597958381,0,0,0,Fish_85_20_2_B
